user_id,assessment_no,actual_category,predicted_category,abs_difference
2639611,5,4,5,1
2639611,6,4,5,1
2639611,7,4,5,1
2639611,8,4,5,1
2639611,9,5,5,0
2639611,10,4,5,1
2639611,11,4,5,1
2641393,2,2,4,2
2641393,3,5,5,0
2641393,4,3,3,0
2641393,5,5,5,0
2641393,6,3,3,0
2641393,7,5,5,0
2641393,8,3,3,0
2641393,9,4,5,1
2641393,10,2,3,1
2641393,11,4,5,1
2642029,2,4,5,1
2642029,3,5,5,0
2642029,4,5,5,0
2642029,5,5,5,0
2642029,6,4,5,1
2642029,7,5,5,0
2642029,8,5,5,0
2642029,9,5,5,0
2642029,10,4,5,1
2642029,11,4,5,1
2645061,2,3,4,1
2645061,3,5,5,0
2645061,4,4,4,0
2645061,5,5,5,0
2645061,6,5,5,0
2645061,7,4,5,1
2645061,8,4,5,1
2645061,9,5,5,0
2645061,10,-1,5,6
2649947,2,2,4,2
2649947,3,2,5,3
2649947,4,0,2,2
2649947,5,4,4,0
2649947,6,2,2,0
2649947,7,4,2,2
2649947,8,-1,4,5
2654302,2,2,4,2
2654302,3,5,5,0
2654302,4,3,3,0
2654302,5,4,5,1
2654302,6,1,3,2
2654302,7,5,5,0
2654302,8,3,3,0
2654302,9,4,5,1
2654302,10,3,3,0
2654302,11,4,5,1
2664301,2,1,4,3
2664301,3,0,5,5
2664301,4,-1,2,3
2680770,2,2,2,0
2680770,3,1,5,4
2680770,4,4,2,2
2680770,5,-1,2,3
2685831,2,3,4,1
2685831,3,4,5,1
2685831,4,2,4,2
2685831,5,4,5,1
2685831,6,3,3,0
2685831,7,2,5,3
2685831,8,3,2,1
2685831,9,4,5,1
2685831,10,2,4,2
2685831,11,5,5,0
2692384,2,3,4,1
2692384,3,5,5,0
2692384,4,3,4,1
2692384,5,5,5,0
2692384,6,3,3,0
2692384,7,5,5,0
2692384,8,4,4,0
2692384,9,5,5,0
2692384,10,4,4,0
2692384,11,5,5,0
23629,2,2,2,0
23629,3,5,5,0
23629,4,5,2,3
23629,5,-1,5,6
25107,2,2,2,0
25107,3,5,5,0
25107,4,2,2,0
25107,5,5,5,0
25107,6,1,2,1
25107,7,5,5,0
25107,8,2,3,1
25107,9,5,5,0
25107,10,1,5,4
25107,11,5,4,1
27891,2,2,4,2
27891,3,5,5,0
27891,4,1,3,2
27891,5,2,5,3
27891,6,2,2,0
27891,7,-1,5,6
29144,2,1,2,1
29144,3,5,5,0
29144,4,3,2,1
29144,5,5,5,0
29144,6,3,3,0
29144,7,2,5,3
29144,8,4,4,0
29144,9,2,5,3
29144,10,-1,5,6
31663,2,4,4,0
31663,3,5,5,0
31663,4,4,5,1
31663,5,4,5,1
31663,6,5,5,0
31663,7,1,5,4
31663,8,0,5,5
31663,9,5,5,0
31663,10,3,3,0
31663,11,5,5,0
33666,2,3,2,1
33666,3,5,5,0
33666,4,5,2,3
33666,5,-1,5,6
34229,2,4,4,0
34229,3,5,5,0
34229,4,5,4,1
34229,5,3,5,2
34229,6,4,5,1
34229,7,5,5,0
34229,8,4,5,1
34229,9,5,5,0
34229,10,-1,5,6
34353,2,3,5,2
34353,3,5,5,0
34353,4,5,5,0
34353,5,5,5,0
34353,6,5,5,0
34353,7,3,5,2
34353,8,5,5,0
34353,9,3,5,2
34353,10,5,5,0
34353,11,-1,-1,0
442466,2,3,4,1
442466,3,3,5,2
442466,4,4,5,1
442466,5,2,5,3
442466,6,5,5,0
442466,7,5,2,3
442466,8,4,5,1
442466,9,4,4,0
442466,10,-1,5,6
34756,2,1,4,3
34756,3,4,5,1
34756,4,-1,2,3
443108,2,5,4,1
443108,3,2,3,1
443108,4,1,5,4
443108,5,5,-1,6
443108,6,4,2,2
443108,7,-1,1,2
34863,2,0,2,2
34863,3,5,5,0
34863,4,1,0,1
34863,5,4,5,1
34863,6,2,1,1
34863,7,5,5,0
34863,8,3,5,2
34863,9,4,4,0
34863,10,4,2,2
34863,11,3,5,2
443288,2,4,4,0
443288,3,5,5,0
443288,4,3,5,2
443288,5,5,5,0
443288,6,3,4,1
443288,7,4,5,1
443288,8,3,5,2
443288,9,5,5,0
443288,10,4,3,1
443288,11,5,5,0
35812,2,-1,4,5
444117,2,4,4,0
444117,3,5,5,0
444117,4,4,4,0
444117,5,5,5,0
444117,6,5,5,0
444117,7,5,5,0
444117,8,5,5,0
444117,9,5,5,0
444117,10,5,5,0
444117,11,5,5,0
39655,2,3,4,1
39655,3,4,5,1
39655,4,3,4,1
39655,5,4,5,1
39655,6,5,4,1
39655,7,5,3,2
39655,8,4,5,1
39655,9,2,5,3
39655,10,5,5,0
39655,11,5,-1,6
444408,2,4,4,0
444408,3,5,5,0
444408,4,3,5,2
444408,5,5,5,0
444408,6,-1,4,5
50993,2,0,2,2
50993,3,4,5,1
50993,4,0,2,2
50993,5,2,4,2
50993,6,4,0,4
50993,7,0,0,0
50993,8,0,0,0
50993,9,0,0,0
50993,10,-1,0,1
444784,2,-1,4,5
52899,2,4,4,0
52899,3,-1,5,6
444926,2,2,2,0
444926,3,5,5,0
444926,4,2,2,0
444926,5,2,5,3
444926,6,1,2,1
444926,7,4,5,1
444926,8,5,3,2
444926,9,1,2,1
444926,10,2,2,0
444926,11,-1,-1,0
58089,2,5,4,1
58089,3,-1,3,4
445065,2,3,4,1
445065,3,4,5,1
445065,4,4,4,0
445065,5,5,5,0
445065,6,5,4,1
445065,7,2,4,2
445065,8,5,5,0
445065,9,5,5,0
445065,10,5,5,0
445065,11,5,5,0
62631,2,3,4,1
62631,3,5,5,0
62631,4,2,4,2
62631,5,5,5,0
62631,6,4,3,1
62631,7,2,5,3
62631,8,-1,4,5
70608,2,3,4,1
70608,3,4,5,1
70608,4,1,5,4
70608,5,5,5,0
70608,6,5,4,1
70608,7,4,2,2
70608,8,4,4,0
70608,9,5,5,0
70608,10,4,4,0
70608,11,4,5,1
445125,2,0,4,4
445125,3,2,5,3
445125,4,2,2,0
445125,5,4,5,1
445125,6,2,3,1
445125,7,5,4,1
445125,8,3,4,1
445125,9,4,4,0
445125,10,1,4,3
445125,11,0,4,4
74695,2,5,5,0
74695,3,5,5,0
74695,4,5,5,0
74695,5,5,5,0
74695,6,5,5,0
74695,7,5,5,0
74695,8,5,5,0
74695,9,4,5,1
74695,10,4,5,1
74695,11,-1,5,6
74734,2,4,4,0
74734,3,2,5,3
74734,4,5,5,0
74734,5,3,2,1
74734,6,4,5,1
74734,7,3,4,1
74734,8,5,5,0
74734,9,3,4,1
74734,10,5,5,0
74734,11,-1,-1,0
75399,2,2,2,0
75399,3,4,5,1
75399,4,1,2,1
75399,5,4,4,0
75399,6,5,2,3
75399,7,2,2,0
75399,8,4,4,0
75399,9,3,2,1
75399,10,4,4,0
75399,11,-1,-1,0
445889,2,1,2,1
445889,3,5,5,0
445889,4,1,2,1
445889,5,4,4,0
445889,6,1,2,1
445889,7,4,5,1
445889,8,1,3,2
445889,9,5,5,0
445889,10,2,2,0
445889,11,5,4,1
446045,2,2,2,0
446045,3,5,5,0
446045,4,3,2,1
446045,5,4,5,1
446045,6,2,3,1
446045,7,0,5,5
446045,8,2,5,3
446045,9,5,5,0
446045,10,4,4,0
446045,11,2,2,0
446247,2,-1,4,5
446357,2,-1,2,3
446856,2,3,4,1
446856,3,4,5,1
446856,4,2,4,2
446856,5,5,5,0
446856,6,1,3,2
446856,7,4,5,1
446856,8,2,2,0
446856,9,3,5,2
446856,10,5,5,0
446856,11,-1,-1,0
447759,2,4,4,0
447759,3,5,5,0
447759,4,5,5,0
447759,5,5,5,0
447759,6,5,5,0
447759,7,5,5,0
447759,8,5,5,0
447759,9,5,5,0
447759,10,5,5,0
447759,11,4,5,1
447782,2,4,0,4
447782,3,5,2,3
447782,4,4,2,2
447782,5,5,5,0
447782,6,3,5,2
447782,7,5,5,0
447782,8,2,5,3
447782,9,5,5,0
447782,10,4,5,1
447782,11,5,5,0
465599,2,4,2,2
465599,3,5,5,0
465599,4,4,4,0
465599,5,5,5,0
465599,6,4,5,1
465599,7,4,5,1
465599,8,5,5,0
465599,9,2,5,3
465599,10,-1,5,6
465730,2,3,4,1
465730,3,5,5,0
465730,4,5,4,1
465730,5,-1,5,6
466037,2,3,5,2
466037,3,5,5,0
466037,4,3,5,2
466037,5,5,5,0
466037,6,-1,5,6
466800,2,3,2,1
466800,3,4,5,1
466800,4,2,4,2
466800,5,1,5,4
466800,6,-1,2,3
466810,2,3,4,1
466810,3,5,5,0
466810,4,3,4,1
466810,5,5,5,0
466810,6,3,3,0
466810,7,5,5,0
466810,8,3,4,1
466810,9,5,5,0
466810,10,3,3,0
466810,11,5,5,0
78645,2,3,4,1
78645,3,4,5,1
78645,4,1,4,3
78645,5,-1,4,5
466959,2,1,2,1
466959,3,4,5,1
466959,4,1,2,1
466959,5,2,4,2
466959,6,2,2,0
466959,7,-1,5,6
82535,2,2,4,2
82535,3,4,5,1
82535,4,1,3,2
82535,5,4,4,0
82535,6,1,2,1
82535,7,2,5,3
82535,8,2,2,0
82535,9,5,5,0
82535,10,2,2,0
82535,11,2,2,0
466973,2,5,4,1
466973,3,5,3,2
466973,4,-1,5,6
82741,2,4,2,2
82741,3,5,5,0
82741,4,2,4,2
82741,5,5,5,0
82741,6,4,3,1
82741,7,0,5,5
82741,8,3,3,0
82741,9,5,4,1
82741,10,2,2,0
82741,11,2,2,0
467035,2,3,4,1
467035,3,5,5,0
467035,4,3,5,2
467035,5,5,5,0
467035,6,2,4,2
467035,7,5,5,0
467035,8,5,5,0
467035,9,4,5,1
467035,10,5,5,0
467035,11,-1,-1,0
83254,2,3,4,1
83254,3,2,5,3
83254,4,5,5,0
83254,5,3,3,0
83254,6,5,5,0
83254,7,1,2,1
83254,8,2,5,3
83254,9,4,5,1
83254,10,0,5,5
83254,11,4,5,1
467292,2,4,4,0
467292,3,5,5,0
467292,4,3,4,1
467292,5,5,5,0
467292,6,5,4,1
467292,7,3,5,2
467292,8,4,5,1
467292,9,4,5,1
467292,10,5,5,0
467292,11,-1,-1,0
84245,2,3,4,1
84245,3,5,5,0
84245,4,5,5,0
84245,5,2,5,3
84245,6,3,5,2
84245,7,4,5,1
84245,8,5,5,0
84245,9,5,5,0
84245,10,5,5,0
84245,11,-1,5,6
467756,2,4,2,2
467756,3,-1,5,6
84664,2,4,4,0
84664,3,5,5,0
84664,4,2,5,3
84664,5,5,5,0
84664,6,3,4,1
84664,7,5,5,0
84664,8,3,5,2
84664,9,5,5,0
84664,10,5,5,0
84664,11,-1,-1,0
468021,2,1,2,1
468021,3,4,5,1
468021,4,2,2,0
468021,5,-1,5,6
86291,2,-1,4,5
468792,2,2,4,2
468792,3,5,5,0
468792,4,-1,5,6
87732,2,3,4,1
87732,3,5,5,0
87732,4,3,5,2
87732,5,5,5,0
87732,6,4,4,0
87732,7,2,5,3
87732,8,4,5,1
87732,9,3,5,2
87732,10,2,5,3
87732,11,-1,-1,0
468949,2,3,4,1
468949,3,5,5,0
468949,4,5,4,1
468949,5,5,5,0
468949,6,2,5,3
468949,7,1,5,4
468949,8,5,5,0
468949,9,2,5,3
468949,10,2,5,3
468949,11,-1,5,6
91322,2,3,4,1
91322,3,2,5,3
91322,4,5,5,0
91322,5,3,3,0
91322,6,5,5,0
91322,7,3,2,1
91322,8,4,5,1
91322,9,3,5,2
91322,10,5,5,0
91322,11,-1,-1,0
469683,2,1,2,1
469683,3,5,5,0
469683,4,0,2,2
469683,5,5,4,1
469683,6,1,2,1
469683,7,0,2,2
469683,8,1,2,1
469683,9,4,5,1
469683,10,2,2,0
469683,11,5,4,1
92274,2,0,2,2
92274,3,5,5,0
92274,4,0,0,0
92274,5,4,2,2
92274,6,-1,0,1
470318,2,5,4,1
470318,3,4,5,1
470318,4,2,5,3
470318,5,4,5,1
470318,6,4,4,0
470318,7,5,5,0
470318,8,4,5,1
470318,9,5,5,0
470318,10,4,5,1
470318,11,5,5,0
92832,2,2,2,0
92832,3,5,5,0
92832,4,2,2,0
92832,5,5,5,0
92832,6,2,2,0
92832,7,4,5,1
92832,8,2,3,1
92832,9,4,5,1
92832,10,4,3,1
92832,11,-1,-1,0
470653,2,2,4,2
470653,3,5,5,0
470653,4,3,5,2
470653,5,4,5,1
470653,6,4,5,1
470653,7,5,5,0
470653,8,3,5,2
470653,9,4,5,1
470653,10,5,5,0
470653,11,-1,-1,0
92947,2,4,4,0
92947,3,5,5,0
92947,4,4,4,0
92947,5,4,5,1
92947,6,4,5,1
92947,7,5,5,0
92947,8,5,5,0
92947,9,5,5,0
92947,10,0,5,5
92947,11,-1,5,6
471219,2,0,4,4
471219,3,5,5,0
471219,4,-1,2,3
92993,2,2,2,0
92993,3,5,5,0
92993,4,5,2,3
92993,5,3,5,2
92993,6,4,5,1
92993,7,2,5,3
92993,8,5,5,0
92993,9,2,5,3
92993,10,2,5,3
92993,11,-1,-1,0
471525,2,1,4,3
471525,3,4,5,1
471525,4,2,2,0
471525,5,5,5,0
471525,6,4,3,1
471525,7,4,2,2
471525,8,4,4,0
471525,9,4,5,1
471525,10,4,4,0
471525,11,5,-1,6
94616,2,2,4,2
94616,3,4,5,1
94616,4,3,3,0
94616,5,5,5,0
94616,6,5,3,2
94616,7,4,3,1
94616,8,4,5,1
94616,9,0,5,5
94616,10,-1,5,6
472182,2,3,2,1
472182,3,4,5,1
472182,4,-1,4,5
97154,2,3,4,1
97154,3,5,5,0
97154,4,3,5,2
97154,5,5,5,0
97154,6,5,4,1
97154,7,5,5,0
97154,8,5,5,0
97154,9,5,5,0
97154,10,4,5,1
97154,11,-1,5,6
472348,2,0,0,0
472348,3,-1,5,6
98313,2,3,4,1
98313,3,4,5,1
98313,4,3,4,1
98313,5,4,5,1
98313,6,4,4,0
98313,7,4,4,0
98313,8,4,4,0
98313,9,4,5,1
98313,10,3,5,2
98313,11,5,5,0
472586,2,4,0,4
472586,3,5,2,3
472586,4,3,2,1
472586,5,2,5,3
472586,6,2,0,2
472586,7,4,5,1
472586,8,2,3,1
472586,9,5,5,0
472586,10,-1,-1,0
104054,2,5,4,1
104054,3,5,5,0
104054,4,5,5,0
104054,5,5,5,0
104054,6,4,5,1
104054,7,5,5,0
104054,8,4,5,1
104054,9,5,5,0
104054,10,5,5,0
104054,11,5,5,0
473095,2,5,2,3
473095,3,4,-1,5
473095,4,5,5,0
473095,5,4,5,1
473095,6,5,5,0
473095,7,-1,5,6
108377,2,4,4,0
108377,3,4,5,1
108377,4,3,5,2
108377,5,5,5,0
108377,6,4,4,0
108377,7,3,5,2
108377,8,2,5,3
108377,9,2,5,3
108377,10,4,5,1
108377,11,-1,-1,0
473328,2,2,4,2
473328,3,5,5,0
473328,4,3,5,2
473328,5,5,5,0
473328,6,4,3,1
473328,7,3,5,2
473328,8,4,5,1
473328,9,5,5,0
473328,10,-1,5,6
108589,2,5,4,1
108589,3,5,3,2
108589,4,3,5,2
108589,5,5,5,0
108589,6,3,5,2
108589,7,5,5,0
108589,8,4,5,1
108589,9,5,5,0
108589,10,4,5,1
108589,11,5,5,0
475095,2,3,5,2
475095,3,5,5,0
475095,4,2,5,3
475095,5,4,5,1
475095,6,4,4,0
475095,7,4,5,1
475095,8,0,5,5
475095,9,-1,5,6
109938,2,4,4,0
109938,3,4,5,1
109938,4,4,5,1
109938,5,5,5,0
109938,6,5,5,0
109938,7,4,5,1
109938,8,5,5,0
109938,9,5,5,0
109938,10,5,5,0
109938,11,5,5,0
110881,2,1,4,3
110881,3,5,5,0
110881,4,2,2,0
110881,5,5,5,0
110881,6,2,3,1
110881,7,4,5,1
110881,8,2,5,3
110881,9,4,5,1
110881,10,2,2,0
110881,11,5,5,0
116603,2,3,4,1
116603,3,5,5,0
116603,4,3,5,2
116603,5,5,5,0
116603,6,4,4,0
116603,7,5,5,0
116603,8,5,5,0
116603,9,4,5,1
116603,10,5,5,0
116603,11,-1,-1,0
120994,2,5,4,1
120994,3,5,3,2
120994,4,5,5,0
120994,5,2,5,3
120994,6,5,5,0
120994,7,-1,5,6
123860,2,3,2,1
123860,3,5,5,0
123860,4,3,4,1
123860,5,2,5,3
123860,6,2,2,0
123860,7,5,5,0
123860,8,3,3,0
123860,9,4,5,1
123860,10,4,4,0
123860,11,4,-1,5
475460,2,2,2,0
475460,3,2,5,3
475460,4,1,2,1
475460,5,1,5,4
475460,6,2,2,0
475460,7,1,2,1
475460,8,-1,2,3
126322,2,5,4,1
126322,3,2,5,3
126322,4,3,5,2
126322,5,4,5,1
126322,6,5,4,1
126322,7,4,4,0
126322,8,-1,5,6
475688,2,5,0,5
475688,3,2,-1,3
475688,4,4,2,2
475688,5,2,2,0
475688,6,2,0,2
475688,7,2,0,2
475688,8,2,5,3
475688,9,5,5,0
475688,10,2,2,0
475688,11,3,-1,4
133155,2,4,4,0
133155,3,5,5,0
133155,4,5,5,0
133155,5,5,5,0
133155,6,5,5,0
133155,7,4,5,1
133155,8,5,5,0
133155,9,5,5,0
133155,10,4,5,1
133155,11,5,5,0
476037,2,4,0,4
476037,3,3,2,1
476037,4,2,2,0
476037,5,3,2,1
476037,6,5,2,3
476037,7,-1,-1,0
133748,2,2,4,2
133748,3,5,5,0
133748,4,2,3,1
133748,5,5,5,0
133748,6,1,3,2
133748,7,-1,5,6
476201,2,3,4,1
476201,3,4,5,1
476201,4,4,4,0
476201,5,5,5,0
476201,6,5,4,1
476201,7,5,4,1
476201,8,4,5,1
476201,9,5,5,0
476201,10,3,4,1
476201,11,5,5,0
141823,2,0,2,2
141823,3,-1,5,6
476297,2,3,2,1
476297,3,5,5,0
476297,4,2,2,0
476297,5,4,5,1
476297,6,3,2,1
476297,7,2,5,3
476297,8,4,3,1
476297,9,5,5,0
476297,10,3,5,2
476297,11,2,5,3
142324,2,3,4,1
142324,3,5,5,0
142324,4,2,4,2
142324,5,5,5,0
142324,6,1,3,2
142324,7,4,5,1
142324,8,-1,3,4
476369,2,5,5,0
476369,3,5,5,0
476369,4,5,5,0
476369,5,5,5,0
476369,6,5,5,0
476369,7,5,5,0
476369,8,5,5,0
476369,9,4,5,1
476369,10,4,5,1
476369,11,4,5,1
143741,2,3,4,1
143741,3,5,5,0
143741,4,3,4,1
143741,5,5,5,0
143741,6,3,3,0
143741,7,5,5,0
143741,8,3,4,1
143741,9,4,5,1
143741,10,5,5,0
143741,11,5,-1,6
476457,2,-1,2,3
145544,2,4,4,0
145544,3,5,5,0
145544,4,3,4,1
145544,5,5,5,0
145544,6,2,4,2
145544,7,5,5,0
145544,8,3,5,2
145544,9,5,5,0
145544,10,2,5,3
145544,11,5,5,0
147876,2,1,4,3
147876,3,5,5,0
147876,4,5,2,3
147876,5,1,5,4
147876,6,3,5,2
147876,7,4,5,1
147876,8,-1,5,6
151697,2,4,4,0
151697,3,5,5,0
151697,4,3,5,2
151697,5,5,5,0
151697,6,3,4,1
151697,7,5,5,0
151697,8,4,5,1
151697,9,5,5,0
151697,10,4,5,1
151697,11,5,5,0
152153,2,0,2,2
152153,3,5,5,0
152153,4,1,0,1
152153,5,0,5,5
152153,6,4,0,4
152153,7,0,0,0
152153,8,-1,5,6
152910,2,3,4,1
152910,3,5,5,0
152910,4,3,4,1
152910,5,5,5,0
152910,6,4,3,1
152910,7,4,5,1
152910,8,3,4,1
152910,9,4,5,1
152910,10,-1,5,6
152929,2,2,4,2
152929,3,5,5,0
152929,4,1,3,2
152929,5,5,5,0
152929,6,2,2,0
152929,7,4,5,1
152929,8,4,4,0
152929,9,5,5,0
152929,10,-1,5,6
153212,2,3,5,2
153212,3,5,5,0
153212,4,5,5,0
153212,5,3,5,2
153212,6,5,5,0
153212,7,4,5,1
153212,8,3,5,2
153212,9,2,5,3
153212,10,4,5,1
153212,11,4,-1,5
153704,2,4,4,0
153704,3,5,5,0
153704,4,3,5,2
153704,5,5,5,0
153704,6,4,4,0
153704,7,-1,5,6
154027,2,4,4,0
154027,3,4,5,1
154027,4,1,5,4
154027,5,4,5,1
154027,6,2,2,0
154027,7,2,5,3
154027,8,2,2,0
154027,9,4,5,1
154027,10,5,3,2
154027,11,-1,-1,0
154125,2,4,4,0
154125,3,5,5,0
154125,4,4,4,0
154125,5,5,5,0
154125,6,4,5,1
154125,7,4,5,1
154125,8,4,5,1
154125,9,5,5,0
154125,10,-1,5,6
154540,2,3,4,1
154540,3,4,5,1
154540,4,3,5,2
154540,5,5,5,0
154540,6,3,4,1
154540,7,4,5,1
154540,8,4,4,0
154540,9,4,5,1
154540,10,3,5,2
154540,11,2,5,3
156835,2,4,4,0
156835,3,4,5,1
156835,4,4,5,1
156835,5,5,5,0
156835,6,4,5,1
156835,7,5,5,0
156835,8,4,5,1
156835,9,5,5,0
156835,10,4,4,0
156835,11,-1,5,6
161678,2,-1,0,1
165243,2,2,4,2
165243,3,5,5,0
165243,4,2,5,3
165243,5,4,5,1
165243,6,5,3,2
165243,7,2,2,0
165243,8,2,5,3
165243,9,5,5,0
165243,10,5,5,0
165243,11,-1,-1,0
169515,2,0,4,4
169515,3,-1,5,6
476596,2,3,4,1
476596,3,5,5,0
476596,4,2,4,2
476596,5,5,5,0
476596,6,4,3,1
476596,7,3,5,2
476596,8,5,4,1
476596,9,2,5,3
476596,10,4,5,1
476596,11,-1,-1,0
476709,2,4,4,0
476709,3,4,5,1
476709,4,4,5,1
476709,5,5,5,0
476709,6,3,5,2
476709,7,4,5,1
476709,8,4,5,1
476709,9,5,5,0
476709,10,3,4,1
476709,11,4,5,1
476710,2,3,4,1
476710,3,5,5,0
476710,4,3,4,1
476710,5,5,5,0
476710,6,2,3,1
476710,7,5,5,0
476710,8,2,3,1
476710,9,5,5,0
476710,10,2,5,3
476710,11,5,5,0
476783,2,4,4,0
476783,3,5,5,0
476783,4,4,4,0
476783,5,4,5,1
476783,6,5,5,0
476783,7,5,5,0
476783,8,4,5,1
476783,9,5,5,0
476783,10,5,5,0
476783,11,5,5,0
477009,2,2,2,0
477009,3,5,5,0
477009,4,0,2,2
477009,5,4,4,0
477009,6,0,2,2
477009,7,5,2,3
477009,8,2,5,3
477009,9,4,5,1
477009,10,2,2,0
477009,11,0,5,5
477011,2,3,2,1
477011,3,0,5,5
477011,4,2,5,3
477011,5,5,5,0
477011,6,2,2,0
477011,7,5,2,3
477011,8,4,2,2
477011,9,4,4,0
477011,10,2,2,0
477011,11,4,4,0
477164,2,1,2,1
477164,3,5,5,0
477164,4,1,2,1
477164,5,0,5,5
477164,6,5,0,5
477164,7,0,0,0
477164,8,5,5,0
477164,9,2,2,0
477164,10,5,5,0
477164,11,-1,5,6
477167,2,4,2,2
477167,3,5,5,0
477167,4,4,4,0
477167,5,5,5,0
477167,6,4,5,1
477167,7,5,5,0
477167,8,5,5,0
477167,9,5,5,0
477167,10,4,5,1
477167,11,5,5,0
477734,2,1,2,1
