"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"BBB","2013B","329800","M","South Region","A Level or Equivalent","80-90%","0-35","0","60","N","Pass"
"BBB","2013B","331354","F","North Western Region","A Level or Equivalent","20-30%","0-35","0","60","N","Pass"
"BBB","2013B","331844","F","South West Region","A Level or Equivalent","20-30%","35-55","0","120","N","Pass"
"BBB","2013B","333129","F","East Anglian Region","Lower Than A Level","10-20","0-35","2","240","N","Fail"
"BBB","2013B","333837","F","North Western Region","Lower Than A Level","80-90%","0-35","0","105","N","Withdrawn"
"BBB","2013B","334291","F","South West Region","Lower Than A Level","40-50%","0-35","1","90","N","Fail"
"BBB","2013B","334794","F","South West Region","Lower Than A Level","20-30%","0-35","0","60","N","Withdrawn"
"BBB","2013B","335421","F","South West Region","A Level or Equivalent","40-50%","0-35","0","240","N","Fail"
"BBB","2013B","335600","F","Wales","Lower Than A Level","50-60%","0-35","3","150","N","Fail"
"BBB","2013B","335910","F","South East Region","A Level or Equivalent","30-40%","0-35","0","90","N","Fail"
"BBB","2013B","336165","F","East Midlands Region","Lower Than A Level","20-30%","0-35","1","120","N","Fail"
"BBB","2013B","338056","F","Scotland","Lower Than A Level","40-50%","0-35","1","120","N","Pass"
"BBB","2013B","338861","F","South West Region","A Level or Equivalent","10-20","0-35","0","60","N","Fail"
"BBB","2013B","339379","F","East Midlands Region","A Level or Equivalent","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","339946","F","Ireland","HE Qualification","0-10%","0-35","0","60","N","Withdrawn"
"BBB","2013B","340831","M","West Midlands Region","A Level or Equivalent","30-40%","35-55","0","60","N","Withdrawn"
"BBB","2013B","341040","M","South Region","HE Qualification","60-70%","0-35","0","60","N","Withdrawn"
"BBB","2013B","341229","F","Wales","Lower Than A Level","40-50%","0-35","0","60","Y","Fail"
"BBB","2013B","341509","F","South Region","A Level or Equivalent","40-50%","0-35","0","180","Y","Pass"
"BBB","2013B","349040","F","North Region","HE Qualification","80-90%","35-55","0","60","N","Withdrawn"
"BBB","2013B","350622","F","London Region","Lower Than A Level","20-30%","0-35","0","60","N","Fail"
"BBB","2013B","350795","M","East Midlands Region","Lower Than A Level","40-50%","35-55","1","60","N","Fail"
"BBB","2013B","351271","F","Scotland","HE Qualification","10-20","0-35","0","120","N","Pass"
"BBB","2013B","351290","F","East Midlands Region","Lower Than A Level","40-50%","0-35","2","60","N","Pass"
"BBB","2013B","351543","F","Wales","Lower Than A Level","30-40%","0-35","1","120","N","Fail"
"BBB","2013B","352161","F","Ireland","Lower Than A Level","20-30%","0-35","1","195","N","Withdrawn"
"BBB","2013B","352364","F","South Region","A Level or Equivalent",,"35-55","0","60","N","Distinction"
"BBB","2013B","353093","F","Wales","Lower Than A Level","70-80%","35-55","0","60","N","Pass"
"BBB","2013B","353352","F","Scotland","Lower Than A Level","0-10%","35-55","0","120","N","Fail"
"BBB","2013B","354058","F","North Western Region","Lower Than A Level","0-10%","0-35","0","60","N","Fail"
"BBB","2013B","354895","F","East Midlands Region","Lower Than A Level","50-60%","0-35","0","60","N","Withdrawn"
"BBB","2013B","355369","F","Yorkshire Region","A Level or Equivalent","80-90%","35-55","1","120","N","Withdrawn"
"BBB","2013B","355998","F","Wales","A Level or Equivalent","40-50%","0-35","0","180","N","Fail"
"BBB","2013B","357030","F","South West Region","Lower Than A Level","50-60%","35-55","0","60","N","Withdrawn"
"BBB","2013B","357928","F","Wales","A Level or Equivalent","10-20","0-35","0","90","N","Fail"
"BBB","2013B","360188","F","South West Region","Lower Than A Level","50-60%","0-35","0","120","N","Pass"
"BBB","2013B","360489","F","West Midlands Region","A Level or Equivalent","0-10%","0-35","0","240","Y","Withdrawn"
"BBB","2013B","360877","M","South Region","HE Qualification","50-60%","0-35","1","120","N","Pass"
"BBB","2013B","361603","M","North Western Region","A Level or Equivalent","50-60%","0-35","1","60","N","Pass"
"BBB","2013B","362760","F","Wales","A Level or Equivalent","10-20","0-35","0","180","N","Fail"
"BBB","2013B","362877","F","Wales","Lower Than A Level","20-30%","0-35","0","60","N","Withdrawn"
"BBB","2013B","363401","M","East Anglian Region","Lower Than A Level","40-50%","35-55","1","120","N","Fail"
"BBB","2013B","363416","F","London Region","Lower Than A Level","30-40%","0-35","0","240","N","Pass"
"BBB","2013B","363660","M","South East Region","A Level or Equivalent","70-80%","35-55","1","180","N","Distinction"
"BBB","2013B","365439","F","South East Region","HE Qualification","60-70%","0-35","0","120","N","Fail"
"BBB","2013B","365452","F","East Anglian Region","Lower Than A Level","60-70%","35-55","0","60","Y","Pass"
"BBB","2013B","365488","F","Wales","A Level or Equivalent","60-70%","0-35","1","60","N","Fail"
"BBB","2013B","365707","F","South East Region","A Level or Equivalent","90-100%","0-35","0","60","N","Distinction"
"BBB","2013B","367304","F","London Region","A Level or Equivalent","10-20","0-35","2","60","N","Fail"
"BBB","2013B","367348","F","West Midlands Region","Lower Than A Level","10-20","0-35","0","60","N","Fail"
"BBB","2013B","367609","M","Wales","Lower Than A Level","0-10%","35-55","0","60","N","Pass"
"BBB","2013B","370302","M","North Region","Lower Than A Level","70-80%","35-55","0","60","N","Fail"
"BBB","2013B","370720","F","London Region","Lower Than A Level","0-10%","0-35","1","120","N","Fail"
"BBB","2013B","371679","F","South East Region","Lower Than A Level","70-80%","0-35","2","120","N","Pass"
"BBB","2013B","374102","F","East Midlands Region","Lower Than A Level","0-10%","0-35","0","60","Y","Fail"
"BBB","2013B","374234","F","South Region","HE Qualification","80-90%","35-55","1","120","N","Pass"
"BBB","2013B","376617","M","West Midlands Region","Lower Than A Level","30-40%","35-55","0","60","N","Pass"
"BBB","2013B","377759","F","London Region","A Level or Equivalent","20-30%","35-55","1","120","Y","Pass"
"BBB","2013B","377846","M","East Anglian Region","Lower Than A Level","0-10%","35-55","0","150","N","Pass"
"BBB","2013B","377905","F","East Midlands Region","Lower Than A Level","30-40%","0-35","2","150","N","Fail"
"BBB","2013B","378462","F","South West Region","A Level or Equivalent","80-90%","35-55","0","120","N","Pass"
"BBB","2013B","378543","M","South East Region","HE Qualification","90-100%","0-35","0","120","N","Pass"
"BBB","2013B","378721","F","Wales","Lower Than A Level","10-20","35-55","0","120","N","Withdrawn"
"BBB","2013B","379402","F","Ireland","A Level or Equivalent","80-90%","0-35","1","105","N","Fail"
"BBB","2013B","381722","F","West Midlands Region","A Level or Equivalent","40-50%","0-35","0","150","N","Withdrawn"
"BBB","2013B","384678","M","London Region","HE Qualification","80-90%","0-35","0","60","N","Fail"
"BBB","2013B","384909","F","East Anglian Region","A Level or Equivalent","60-70%","35-55","0","120","N","Withdrawn"
"BBB","2013B","385034","F","East Midlands Region","A Level or Equivalent","50-60%","0-35","0","120","N","Withdrawn"
"BBB","2013B","386348","M","East Midlands Region","Lower Than A Level","20-30%","35-55","1","120","Y","Pass"
"BBB","2013B","387702","F","West Midlands Region","A Level or Equivalent","0-10%","0-35","0","60","N","Fail"
"BBB","2013B","388205","F","London Region","A Level or Equivalent","10-20","0-35","0","120","N","Fail"
"BBB","2013B","388360","F","South West Region","A Level or Equivalent","30-40%","0-35","0","60","N","Fail"
"BBB","2013B","388410","F","Yorkshire Region","Lower Than A Level","10-20","35-55","0","60","N","Fail"
"BBB","2013B","388484","F","Scotland","Lower Than A Level","0-10%","0-35","0","60","N","Fail"
"BBB","2013B","389369","M","Wales","A Level or Equivalent","10-20","0-35","0","120","N","Distinction"
"BBB","2013B","390220","F","South East Region","Lower Than A Level","60-70%","0-35","3","120","N","Pass"
"BBB","2013B","390442","F","South Region","A Level or Equivalent","90-100%","0-35","0","60","Y","Distinction"
"BBB","2013B","390461","F","East Anglian Region","HE Qualification","70-80%","35-55","0","90","N","Fail"
"BBB","2013B","392213","F","East Anglian Region","Lower Than A Level","80-90%","0-35","1","120","N","Pass"
"BBB","2013B","392281","F","North Region","A Level or Equivalent","10-20","0-35","0","120","N","Withdrawn"
"BBB","2013B","392428","F","South West Region","HE Qualification","20-30%","35-55","1","120","N","Pass"
"BBB","2013B","392614","F","East Anglian Region","A Level or Equivalent","20-30%","0-35","2","120","N","Fail"
"BBB","2013B","393327","F","East Midlands Region","A Level or Equivalent","90-100%","0-35","2","120","Y","Withdrawn"
"BBB","2013B","397118","F","North Region","Lower Than A Level","20-30%","0-35","0","120","N","Pass"
"BBB","2013B","398084","F","London Region","Lower Than A Level","10-20","0-35","0","60","N","Pass"
"BBB","2013B","400049","F","London Region","A Level or Equivalent","40-50%","0-35","1","60","N","Fail"
"BBB","2013B","400469","F","Yorkshire Region","A Level or Equivalent","50-60%","0-35","1","60","N","Pass"
"BBB","2013B","400474","F","East Anglian Region","A Level or Equivalent","80-90%","35-55","0","120","N","Pass"
"BBB","2013B","400894","F","Scotland","A Level or Equivalent","30-40%","0-35","1","120","N","Pass"
"BBB","2013B","401339","F","London Region","A Level or Equivalent","30-40%","0-35","0","120","N","Pass"
"BBB","2013B","401349","F","West Midlands Region","A Level or Equivalent","20-30%","0-35","0","60","N","Distinction"
"BBB","2013B","403093","F","East Anglian Region","Lower Than A Level","40-50%","0-35","0","60","Y","Pass"
"BBB","2013B","404022","F","South West Region","A Level or Equivalent","30-40%","0-35","0","60","N","Pass"
"BBB","2013B","404727","F","South Region","Lower Than A Level","70-80%","0-35","1","60","N","Fail"
"BBB","2013B","405471","M","South East Region","Lower Than A Level","70-80%","0-35","1","120","N","Pass"
"BBB","2013B","405746","F","Ireland","Lower Than A Level","20-30%","0-35","0","90","N","Withdrawn"
"BBB","2013B","405995","F","South East Region","A Level or Equivalent","30-40%","0-35","2","120","N","Pass"
"BBB","2013B","406311","M","Scotland","No Formal quals","30-40%","35-55","0","60","N","Fail"
"BBB","2013B","406416","F","South West Region","HE Qualification","20-30%","0-35","0","120","N","Withdrawn"
"BBB","2013B","406974","M","West Midlands Region","A Level or Equivalent","10-20","0-35","0","120","N","Withdrawn"
"BBB","2013B","408112","F","East Midlands Region","Lower Than A Level","10-20","35-55","0","60","Y","Pass"
"BBB","2013B","409662","F","East Anglian Region","Lower Than A Level","60-70%","0-35","0","60","N","Pass"
"BBB","2013B","410739","F","East Midlands Region","Lower Than A Level","80-90%","35-55","0","120","N","Pass"
"BBB","2013B","411197","F","Yorkshire Region","A Level or Equivalent","70-80%","35-55","2","60","N","Fail"
"BBB","2013B","412407","M","South East Region","A Level or Equivalent","30-40%","0-35","1","60","N","Pass"
"BBB","2013B","412654","M","Scotland","A Level or Equivalent","20-30%","0-35","1","60","N","Pass"
"BBB","2013B","413984","F","London Region","Lower Than A Level","30-40%","0-35","1","60","N","Pass"
"BBB","2013B","414958","F","South Region","A Level or Equivalent","80-90%","0-35","1","60","N","Pass"
"BBB","2013B","415716","F","South West Region","A Level or Equivalent","60-70%","35-55","0","60","N","Distinction"
"BBB","2013B","415760","F","West Midlands Region","Lower Than A Level","40-50%","0-35","1","180","N","Pass"
"BBB","2013B","416007","F","Scotland","A Level or Equivalent","70-80%","0-35","2","120","N","Pass"
"BBB","2013B","416314","M","North Region","Lower Than A Level","10-20","0-35","0","60","N","Fail"
"BBB","2013B","416654","F","Scotland","A Level or Equivalent","50-60%","35-55","0","60","N","Pass"
"BBB","2013B","417462","F","West Midlands Region","A Level or Equivalent","40-50%","0-35","1","60","N","Fail"
"BBB","2013B","418065","M","North Region","A Level or Equivalent","10-20","35-55","0","60","N","Withdrawn"
"BBB","2013B","418325","F","Yorkshire Region","Lower Than A Level","0-10%","0-35","0","60","N","Pass"
"BBB","2013B","420604","F","Scotland","A Level or Equivalent","60-70%","35-55","2","120","N","Fail"
"BBB","2013B","421205","F","Wales","Lower Than A Level","70-80%","0-35","0","180","N","Fail"
"BBB","2013B","422070","F","East Midlands Region","A Level or Equivalent","50-60%","0-35","1","90","N","Fail"
"BBB","2013B","423314","M","East Anglian Region","A Level or Equivalent","30-40%","35-55","0","60","N","Fail"
"BBB","2013B","423871","F","Yorkshire Region","A Level or Equivalent","0-10%","0-35","0","90","N","Pass"
